对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID	额外加载标识ID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
6902606		3		21	0																																			5		690260601	9026																																
6902607		3	1	58	10000026	3				67	9026	6902603	0																											5		690260701	9026																																
6902608		3	1	58	10000026	6				67	9026	6902604	0																											5		690260801	9026																																
6902609		3		67	9026	6902602	0																																	5		690260901	9026																																
6902650	2	3	2	64	2102	1				64	2112	1																												6		690265001	9026																																
6902651	2	3	2	64	2101	1				64	2111	1																												6		690265101	9026																																
6902701	2	3																																						5	6902709,6902702,6902707,6902703,6902708,6902704,6902705,6902706	690270101	9027																																
6902702		3		67	9027	6902702	1																																	5		690270201	9027																																
6902703		3	1	58	10000027	3				67	9027	6902703	1																											5		690270301	9027																																
6902704		3	1	58	10000027	6				67	9027	6902704	1																											5		690270401	9027																																
6902705		3		21	1																																			5		690270501	9027																																
6902706		3		21	0																																			5		690270601	9027																																
6902707		3	1	58	10000027	3				67	9027	6902703	0																											5		690270701	9027																																
6902708		3	1	58	10000027	6				67	9027	6902704	0																											5		690270801	9027																																
6902709		3		67	9027	6902702	0																																	5		690270901	9027																																
6902750	2	3	2	64	2202	1				64	2212	1																												6		690275001	9027																																
6902751	2	3	2	64	2201	1				64	2211	1																												6		690275101	9027																																
6902901	2	3																																						5	6902909,6902902,6902907,6902903,6902908,6902904,6902905,6902906	690290101	9029																																
6902902		3		67	9029	6902902	1																																	5		690290201	9029																																
6902903		3	1	58	10000029	3				67	9029	6902903	1																											5		690290301	9029																																
6902904		3	1	58	10000029	6				67	9029	6902904	1																											5		690290401	9029																																
6902905		3		21	1																																			5		690290501	9029																																
6902906		3		21	0																																			5		690290601	9029																																
6902907		3	1	58	10000029	3				67	9029	6902903	0																											5		690290701	9029																																
6902908		3	1	58	10000029	6				67	9029	6902904	0																											5		690290801	9029																																
6902909		3		67	9029	6902902	0																																	5		690290901	9029																																
6902950	2	3	2	64	2301	1				64	2311	1																												6		690295001	9029																																
6902951	2	3	2	64	2302	1				64	2312	1																												6		690295101	9029																																
6903001	2	3																																						5	6903009,6903002,6903007,6903003,6903008,6903004,6903005,6903006	690300101	9030																																
6903002		3		67	9030	6903002	1																																	5		690300201	9030																																
6903003		3	1	58	10000030	3				67	9030	6903003	1																											5		690300301	9030																																
6903004		3	1	58	10000030	6				67	9030	6903004	1																											5		690300401	9030																																
6903005		3		21	1																																			5		690300501	9030																																
6903006		3		21	0																																			5		690300601	9030																																
6903007		3	1	58	10000030	3				67	9030	6903003	0																											5		690300701	9030																																
6903008		3	1	58	10000030	6				67	9030	6903004	0																											5		690300801	9030																																
6903009		3		67	9030	6903002	0																																	5		690300901	9030																																
6903050	2	3	2	64	2401	1				64	2411	1																												6		690305001	9030																																
6903051	2	3	2	64	2402	1				64	2412	1																												6		690305101	9030																																
6903101	2	3																																						5	6903109,6903102,6903107,6903103,6903108,6903104,6903105,6903106	690310101	9031																																
6903102		3		67	9031	6903102	1																																	5		690310201	9031,9000																																
6903103		3	1	58	10000031	3				67	9031	6903103	1																											5		690310301	9031,9000																																
6903104		3	1	58	10000031	6				67	9031	6903104	1																											5		690310401	9031,9000																																
6903105		3		21	1																																			5		690310501	9031,9000																																
6903106		3		21	0																																			5		690310601	9031,9000																																
6903107		3	1	58	10000031	3				67	9031	6903103	0																											5		690310701	9031,9000																																
6903108		3	1	58	10000031	6				67	9031	6903104	0																											5		690310801	9031,9000																																
6903109		3		67	9031	6903102	0																																	5		690310901	9031,9000																																
6903150	2	3	2	64	2501	1				64	2511	1																												6		690315001	9031,9000																																
6903151	2	3	2	64	2502	1				64	2512	1																												6		690315101	9031,9000																																
6903201	2	3																																						5	6903209,6903202,6903207,6903203,6903208,6903204,6903205,6903206	690320101	9032																																
6903202		3		67	9032	6903202	1																																	5		690320201	9032																																
6903203		3	1	58	10000032	3				67	9032	6903203	1																											5		690320301	9032																																
6903204		3	1	58	10000032	6				67	9032	6903204	1																											5		690320401	9032																																
6903205		3		21	1																																			5		690320501	9032																																
6903206		3		21	0																																			5		690320601	9032																																
6903207		3	1	58	10000032	3				67	9032	6903203	0																											5		690320701	9032																																
6903208		3	1	58	10000032	6				67	9032	6903204	0																											5		690320801	9032																																
6903209		3		67	9032	6903202	0																																	5		690320901	9032																																
6903250	2	3	2	64	2602	1				64	2612	1																												6		690325001	9032																																
6903251	2	3	2	64	2601	1				64	2611	1																												6		690325101	9032																																
6903301	2	3																																						5	6903309,6903302,6903307,6903303,6903308,6903304,6903305,6903306	690330101	9033																																
6903302		3		67	9033	6903302	1																																	5		690330201	9033																																
6903303		3	1	58	10000033	3				67	9033	6903303	1																											5		690330301	9033																																
6903304		3	1	58	10000033	6				67	9033	6903304	1																											5		690330401	9033																																
6903305		3		21	1																																			5		690330501	9033																																
6903306		3		21	0																																			5		690330601	9033																																
6903307		3	1	58	10000033	3				67	9033	6903303	0																											5		690330701	9033																																
6903308		3	1	58	10000033	6				67	9033	6903304	0																											5		690330801	9033																																
6903309		3		67	9033	6903302	0																																	5		690330901	9033																																
6903350	2	3	2	64	2701	1				64	2711	1																												6		690335001	9033																																
6903351	2	3	2	64	2702	1				64	2712	1																												6		690335101	9033																																
6903401	2	3																																						5	6903409,6903402,6903407,6903403,6903408,6903404,6903405,6903406	690340101	9034																																
6903402		3		67	9034	6903402	1																																	5		690340201	9034																																
6903403		3	1	58	10000034	3				67	9034	6903403	1																											5		690340301	9034																																
6903404		3	1	58	10000034	6				67	9034	6903404	1																											5		690340401	9034																																
6903405		3		21	1																																			5		690340501	9034																																
6903406		3		21	0																																			5		690340601	9034																																
6903407		3	1	58	10000034	3				67	9034	6903403	0																											5		690340701	9034																																
6903408		3	1	58	10000034	6				67	9034	6903404	0																											5		690340801	9034																																
6903409		3		67	9034	6903402	0																																	5		690340901	9034																																
6903450	2	3	2	64	2802	1				64	2812	1																												6		690345001	9034																																
6903451	2	3	2	64	2801	1				64	2811	1																												6		690345101	9034																																
6903501	2	3																																						5	6903509,6903502,6903507,6903503,6903508,6903504,6903505,6903506	690350101	9035																																
6903502		3		67	9035	6903502	1																																	5		690350201	9035																																
6903503		3	1	58	10000035	3				67	9035	6903503	1																											5		690350301	9035																																
6903504		3	1	58	10000035	6				67	9035	6903504	1																											5		690350401	9035																																
6903505		3		21	1																																			5		690350501	9035																																
6903506		3		21	0																																			5		690350601	9035																																
6903507		3	1	58	10000035	3				67	9035	6903503	0																											5		690350701	9035																																
6903508		3	1	58	10000035	6				67	9035	6903504	0																											5		690350801	9035																																
6903509		3		67	9035	6903502	0																																	5		690350901	9035																																
6903550	2	3	2	64	2902	1				64	2912	1																												6		690355001	9035																																
6903551	2	3	2	64	2901	1				64	2911	1																												6		690355101	9035																																
6903601	2	3																																						5	6903609,6903602,6903607,6903603,6903608,6903604,6903605,6903606	690360101	9036																																
6903602		3		67	9036	6903602	1																																	5		690360201	9036																																
6903603		3	1	58	10000036	3				67	9036	6903603	1																											5		690360301	9036																																
6903604		3	1	58	10000036	6				67	9036	6903604	1																											5		690360401	9036																																
6903605		3		21	1																																			5		690360501	9036																																
6903606		3		21	0																																			5		690360601	9036																																
6903607		3	1	58	10000036	3				67	9036	6903603	0																											5		690360701	9036																																
6903608		3	1	58	10000036	6				67	9036	6903604	0																											5		690360801	9036																																
6903609		3		67	9036	6903602	0																																	5		690360901	9036																																
6903650	2	3	2	64	3002	1				64	3012	1																												6		690365001	9036																																
6903651	2	3	2	64	3001	1				64	3011	1																												6		690365101	9036																																
6903701	2	3																																						5	6903709,6903702,6903707,6903703,6903708,6903704,6903705,6903706	690370101	9037																																
6903702		3		67	9037	6903702	1																																	5		690370201	9037																																
6903703		3	1	58	10000037	3				67	9037	6903703	1																											5		690370301	9037																																
6903704		3	1	58	10000037	6				67	9037	6903704	1																											5		690370401	9037																																
6903705		3		21	1																																			5		690370501	9037																																
6903706		3		21	0																																			5		690370601	9037																																
6903707		3	1	58	10000037	3				67	9037	6903703	0																											5		690370701	9037																																
6903708		3	1	58	10000037	6				67	9037	6903704	0																											5		690370801	9037																																
6903709		3		67	9037	6903702	0																																	5		690370901	9037																																
6903750	2	3	2	64	3102	1				64	3112	1																												6		690375001	9037																																
6903751	2	3	2	64	3101	1				64	3111	1																												6		690375101	9037																																
6903801	2	3																																						5	6903809,6903802,6903807,6903803,6903808,6903804,6903805,6903806	690380101	9038																																
6903802		3		67	9038	6903802	1																																	5		690380201	9038																																
6903803		3	1	58	10000038	3				67	9038	6903803	1																											5		690380301	9038																																
6903804		3	1	58	10000038	6				67	9038	6903804	1																											5		690380401	9038																																
6903805		3		21	1																																			5		690380501	9038																																
6903806		3		21	0																																			5		690380601	9038																																
6903807		3	1	58	10000038	3				67	9038	6903803	0																											5		690380701	9038																																
6903808		3	1	58	10000038	6				67	9038	6903804	0																											5		690380801	9038																																
6903809		3		67	9038	6903802	0																																	5		690380901	9038																																
6903850	2	3	2	64	3201	1				64	3211	1																												6		690385001	9038																																
6903851	2	3	2	64	3202	1				64	3212	1																												6		690385101	9038																																
6903901	2	3																																						5	6903909,6903902,6903907,6903903,6903908,6903904,6903905,6903906	690390101	9039																																
6903902		3		67	9039	6903902	1																																	5		690390201	9039																																
6903903		3	1	58	10000039	3				67	9039	6903903	1																											5		690390301	9039																																
6903904		3	1	58	10000039	6				67	9039	6903904	1																											5		690390401	9039																																
6903905		3		21	1																																			5		690390501	9039																																
6903906		3		21	0																																			5		690390601	9039																																
6903907		3	1	58	10000039	3				67	9039	6903903	0																											5		690390701	9039																																
6903908		3	1	58	10000039	6				67	9039	6903904	0																											5		690390801	9039																																
6903909		3		67	9039	6903902	0																																	5		690390901	9039																																
6903950	2	3	2	64	3302	1				64	3312	1																												6		690395001	9039																																
6903951	2	3	2	64	3301	1				64	3311	1																												6		690395101	9039																																
6904101	2	3																																						5	6904109,6904102,6904107,6904103,6904108,6904104,6904105,6904106	690410101	9041																																
6904102		3		67	9041	6904102	1																																	5		690410201	9041																																
6904103		3	1	58	10000041	3				67	9041	6904103	1																											5		690410301	9041																																
6904104		3	1	58	10000041	6				67	9041	6904104	1																											5		690410401	9041																																
6904105		3		21	1																																			5		690410501	9041																																
6904106		3		21	0																																			5		690410601	9041																																
6904107		3	1	58	10000041	3				67	9041	6904103	0																											5		690410701	9041																																
6904108		3	1	58	10000041	6				67	9041	6904104	0																											5		690410801	9041																																
6904109		3		67	9041	6904102	0																																	5		690410901	9041																																
6904150	2	3	2	64	4101	1				64	4111	1																												6		690415001	9041																																
6904151	2	3	2	64	4102	1				64	4112	1																												6		690415101	9041																																
6904201	2	3																																						5	6904209,6904202,6904207,6904203,6904208,6904204,6904205,6904206	690420101	9042																																
6904202		3		67	9042	6904202	1																																	5		690420201	9042																																
6904203		3	1	58	10000042	3				67	9042	6904203	1																											5		690420301	9042																																
6904204		3	1	58	10000042	6				67	9042	6904204	1																											5		690420401	9042																																
6904205		3		21	1																																			5		690420501	9042																																
6904206		3		21	0																																			5		690420601	9042																																
6904207		3	1	58	10000042	3				67	9042	6904203	0																											5		690420701	9042																																
6904208		3	1	58	10000042	6				67	9042	6904204	0																											5		690420801	9042																																
6904209		3		67	9042	6904202	0																																	5		690420901	9042																																
6904250	2	3	2	64	3402	1				64	3412	1																												6		690425001	9042																																
6904251	2	3	2	64	3401	1				64	3411	1																												6		690425101	9042																																
6904301	2	3																																						5	6904309,6904302,6904307,6904303,6904308,6904304,6904305,6904306	690430101	9043																																
6904302		3		67	9043	6904302	1																																	5		690430201	9043																																
6904303		3	1	58	10000043	3				67	9043	6904303	1																											5		690430301	9043																																
6904304		3	1	58	10000043	6				67	9043	6904304	1																											5		690430401	9043																																
6904305		3		21	1																																			5		690430501	9043																																
6904306		3		21	0																																			5		690430601	9043																																
6904307		3	1	58	10000043	3				67	9043	6904303	0																											5		690430701	9043																																
6904308		3	1	58	10000043	6				67	9043	6904304	0																											5		690430801	9043																																
6904309		3		67	9043	6904302	0																																	5		690430901	9043																																
6904350	2	3	2	64	3501	1				64	3511	1																												6		690435001	9043																																
6904351	2	3	2	64	3502	1				64	3512	1																												6		690435101	9043																																
6904401	2	3																																						5	6904409,6904402,6904407,6904403,6904408,6904404,6904405,6904406	690440101	9044																																
6904402		3		67	9044	6904402	1																																	5		690440201	9044																																
6904403		3	1	58	10000044	3				67	9044	6904403	1																											5		690440301	9044																																
6904404		3	1	58	10000044	6				67	9044	6904404	1																											5		690440401	9044																																
6904405		3		21	1																																			5		690440501	9044																																
6904406		3		21	0																																			5		690440601	9044																																
6904407		3	1	58	10000044	3				67	9044	6904403	0																											5		690440701	9044																																
6904408		3	1	58	10000044	6				67	9044	6904404	0																											5		690440801	9044																																
6904409		3		67	9044	6904402	0																																	5		690440901	9044																																
6904450	2	3	2	64	3602	1				64	3612	1																												6		690445001	9044																																
6904451	2	3	2	64	3601	1				64	3611	1																												6		690445101	9044																																
6904501	2	3																																						5	6904509,6904502,6904507,6904503,6904508,6904504,6904505,6904506	690450101	9045																																
6904502		3		67	9045	6904502	1																																	5		690450201	9045																																
6904503		3	1	58	10000045	3				67	9045	6904503	1																											5		690450301	9045																																
6904504		3	1	58	10000045	6				67	9045	6904504	1																											5		690450401	9045																																
6904505		3		21	1																																			5		690450500	9045																																
6904506		3		21	0																																			5		690450601	9045																																
6904507		3	1	58	10000045	3				67	9045	6904503	0																											5		690450701	9045																																
6904508		3	1	58	10000045	6				67	9045	6904504	0																											5		690450801	9045																																
6904509		3		67	9045	6904502	0																																	5		690450901	9045																																
6904550	2	3	2	64	3701	1				64	3711	1																												6		690455001	9045																																
6904551	2	3	2	64	3702	1				64	3712	1																												6		690455101	9045																																
6904601	2	3																																						5	6904609,6904602,6904607,6904603,6904608,6904604,6904605,6904606	690460101	9046																																
6904602		3		67	9046	6904602	1																																	5		690460201	9046																																
6904603		3	1	58	10000046	3				67	9046	6904603	1																											5		690460301	9046																																
6904604		3	1	58	10000046	6				67	9046	6904604	1																											5		690460401	9046																																
6904605		3		21	1																																			5		690460501	9046																																
6904606		3		21	0																																			5		690460601	9046																																
6904607		3	1	58	10000046	3				67	9046	6904603	0																											5		690460701	9046																																
6904608		3	1	58	10000046	6				67	9046	6904604	0																											5		690460801	9046																																
6904609		3		67	9046	6904602	0																																	5		690460901	9046																																
6904650	2	3	2	64	3801	1				64	3811	1																												6		690465001	9046																																
6904651	2	3	2	64	3802	1				64	3812	1																												6		690465101	9046																																
6904701	2	3																																						5	6904709,6904702,6904707,6904703,6904708,6904704,6904705,6904706	690470101	9047																																
6904702		3		67	9047	6904702	1																																	5		690470201	9047																																
6904703		3	1	58	10000047	3				67	9047	6904703	1																											5		690470301	9047																																
6904704		3	1	58	10000047	6				67	9047	6904704	1																											5		690470401	9047																																
6904705		3		21	1																																			5		690470501	9047																																
6904706		3		21	0																																			5		690470601	9047																																
6904707		3	1	58	10000047	3				67	9047	6904703	0																											5		690470701	9047																																
6904708		3	1	58	10000047	6				67	9047	6904704	0																											5		690470801	9047																																
6904709		3		67	9047	6904702	0																																	5		690470901	9047																																
6904801	2	3																																						5	6904809,6904802,6904807,6904803,6904808,6904804,6904805,6904806	690480101	9048																																
6904802		3		67	9048	6904802	1																																	5		690480201	9048																																
6904803		3	1	58	10000048	3				67	9048	6904803	1																											5		690480301	9048																																
6904804		3	1	58	10000048	6				67	9048	6904804	1																											5		690480401	9048																																
6904805		3		21	1																																			5		690480501	9048																																
6904806		3		21	0																																			5		690480601	9048																																
6904807		3	1	58	10000048	3				67	9048	6904803	0																											5		690480701	9048																																
6904808		3	1	58	10000048	6				67	9048	6904804	0																											5		690480801	9048																																
6904809		3		67	9048	6904802	0																																	5		690480901	9048																																
6904850	2	3	2	64	3901	1				64	3911	1																												6		690485001	9048																																
6904851	2	3	2	64	3902	1				64	3912	1																												6		690485101	9048																																
6905101	2	3																																						5	6905109,6905102,6905107,6905103,6905108,6905104,6905105,6905106	690510101	9051																																
6905102		3		67	9051	6905102	1																																	5		690510201	9051																																
6905103		3	1	58	10000051	3				67	9051	6905103	1																											5		690510301	9051																																
6905104		3	1	58	10000051	6				67	9051	6905104	1																											5		690510401	9051																																
6905105		3		21	1																																			5		690510501	9051																																
6905106		3		21	0																																			5		690510601	9051																																
6905107		3	1	58	10000051	3				67	9051	6905103	0																											5		690510701	9051																																
6905108		3	1	58	10000051	6				67	9051	6905104	0																											5		690510801	9051																																
6905109		3		67	9051	6905102	0																																	5		690510901	9051																																
6905150	2	3	2	64	4002	1				64	4012	1																												6		690515001	9051																																
6905151	2	3	2	64	4001	1				64	4011	1																												6		690515101	9051																																
7000001	2	3		1	7000001	2																																		5		700000101	164201	70000																															
7000003	2	3		1	7000002	2																																		5		700000301	164201	70000																															
7000004	2	3		1	7000005	2																																		5		700000401	142501	70000																															
7000005	2	3	2	1	7000006	2				1	7000003	2																												5		700000501	142501	70000																															
7000006	2	3		1	7000006	2																																		5		700000601	164201	70000																															
7000102	2	3		1	7000102	2																																		5		700010201	152501	70001																															
7000103	2	3		1	7000103	2																																		5		700010301	10396	70001																															
7000104	2	3		1	7000106	2																																		5		700010401	10397	70001																															
7000105	2	3		1	7000107	2																																		5		700010501	10398	70001																															
7000106	2	3		1	7000111	2																																		5		700010601	152501	70001																															
7000108	2	3		1	7000106	3																																		5		700010801	10397	70001																															
7000110	2	3		1	7000107	3																																		5		700011001	10398	70001																															
7000111	2	3		1	7000103	2																																		5		700010223	152501	70001																															
7000301	2	3		1	7000302	2																																		5		700030101	1445	70003																															
7000302	2	3	2	1	7000303	2				1	7000304	2				1	7000305	2				1	7000306	2				1	7000307	2										5		700030201	1445	70003																															
7000305	2	3	2	1	7000306	2				1	7000307	2																												5		700030501	20219	70003																															
7000306	2	3		1	7000308	2																																		5		700030601	1445	70003																															
7000601	2	3		1	7000601	2																																		5		700060102	11007,156501	70006																															
7000602	2	3	1	1	7000602	2				19	7000602																													5		700060201	11007	70006																															
7000603	1	3	1	1	7000603	2																																		6		700060301	11007,156501	70006																															
7000604	1	3	1	1	7000604	2																																		6		700060401	11007	70006																															
7000701	2	3		1	7000712	2																																		5		700070101	1565	70007																															
7000702	2	3		1	7000702	2																																		5		700070201	10023,10024	70007																															
7000703	2	3		1	7000703	2																																		5		700070301	10025,10026	70007																															
7000704	2	3		1	7000704	2																																		5		700070401	10027,10028	70007																															
7000707	2	3		1	7000707	2																																		5		700070701	1005	70007																															
7000708		3		1	7000708	2																																		5		700070801	1648	70007																															
7000710	2	3		1	7000710	2																																		5		700071001	1005	70007																															
7000751	2	3	2	1	7000706	2				1	7000707	2				1	7000708	2				1	7000709	2																4		700075101	1565	70007																															
7000752	2	3	2	1	7000706	2				1	7000707	2				1	7000708	2				1	7000709	2																4		700075201	10023,10024	70007																															
7000753	2	3	2	1	7000706	2				1	7000707	2				1	7000708	2				1	7000709	2																4		700075301	10025,10026	70007																															
7000754	2	3	2	1	7000706	2				1	7000707	2				1	7000708	2				1	7000709	2																4		700075401	10027,10028	70007																															
7000755	2	3																																						5	7000708,7000756,7000757	616480101	1648	70007																															
7000756		3																																						1		616480201	1648	70007																															
7000757		3																																						1		616480301	1648	70007																															
7000801	2	3		1	7000816	2																																		5		700080101	143101	70008																															
7000808	2	3	1	1	7000808	2				19	7000808																													5		700081801	143101	70008																															
7000809	2	3		1	7000809	2																																		5		700080901	10029	70008																															
7000810	2	3	1	1	7000810	2				19	7000810																													5		700081001	143101	70008																															
7000811	2	3		1	7000811	2																																		5		700081101	1461	70008																															
7000812	2	3		1	7000812	2																																		5		700081201	1445	70008																															
7000813	2	3		1	7000813	2																																		5		700081301	1601	70008																															
7000814	2	3		1	7000814	2																																		5		700081401	143101	70008																															
7000815	1	3		1	7000818	2																																		5		700081503	143101	70008																															
7000816	1	3		1	7000819	2																																		5		700081003	143101	70008																															
7000818	1	3		1	7000817	2																																		5	7000838	700082802	143101	70008																															
7000828	1	3		1	7000815	2																																		5	7000838	700081802	143101	70008																															
7000838		3																																						5		700083801	143101	70008																															
7000851	2	3		1	7000809	2																																		4		700085101	143101	70008																															
7000852	2	3	2	1	7000811	2				1	7000812	2				1	7000813	2				1	7000814	2																4		700085201	1461	70008																															
7000853	2	3	2	1	7000811	2				1	7000812	2				1	7000813	2				1	7000814	2																4		700085301	1445	70008																															
7000854	2	3	2	1	7000814	2				1	7000812	2				1	7000813	2				1	7000814	2																4		700085401	1601	70008																															
7000855	2	3	2	1	7000811	2				1	7000812	2				1	7000813	2																						4		700081509	143101	70008																															
7000901	2	3		1	7000903	2																																		5		700090101	1517	70009																															
7000902	2	3		1	7000904	2																																		5		700090201	1599	70009																															
7000903	2	3		1	7000906	2																																		5		700090302	1423	70009																															
7000904	2	3		1	7000908	2																																		5		700090401	1599	70009																															
7000905	2	3		1	7000910	2																																		5		700090502	1423	70009																															
7000906	2	3		1	7000911	2																																		5		700090602	1425	70009																															
7000907	2	3		1	7000912	2																																		5		700090701	1599	70009																															
7000908	2	3		1	7000902	2																																		5		700090801	1517	70009																															
7000909	2	3		1	7000904	2																																		5		700090901	1517	70009																															
7000910	2	3	1	1	7000904	3				1	7000902	0																												5		700091001	1517	70009																															
7001001		3		1	7001003	2																																		5		700100101	1665	70010																															
7001002		3		1	7001008	2																																		5		700100201	1665	70010																															
7001003	2	3		1	7001009	2																																		5		700100301	1409	70010																															
7001004	2	3		1	7001011	2																																		5		700100401	1523	70010																															
7001005	2	3		1	7001012	2																																		5		700100501	1644	70010																															
7001006	2	3		1	7001015	2																																		5		700100601	1409	70010																															
7001007		3		1	7001002	2																																		5		700100701	1665	70010																															
7001008		3	2	1	7001004	2				1	7001005	2																												5		700100801	1665	70010																															
7001009	2	3	2	1	7001010	2				1	7001014	2																												5		700100901	1409	70010																															
7001010	2	3	4	1	7001011	3				1	7001014	2				1	7001015	2				1	7001002	2																5		700101001	1523	70010																															
7001011	2	3	4	1	7001012	3				1	7001014	2				1	7001015	2				1	7001002	2																5		700101101	1644	70010																															
7001012	2	3		1	7001002	2																																		5		700101201	1409	70010																															
7001101	2	3		1	7001101	2																																		5		700110101	11007,156501,1005	70011																															
7001102	2	3		1	7001103	2																																		5		700110201	11007,156501	70011																															
7001103	2	3		1	7001102	2																																		5		700110301	11007	70011																															
7001201	2	3		1	7001201	2																																		5		700120101	11007,156501	70012																															
7001202	2	3	1	1	7001202	2				19	7002102																													5		700120201	11007	70012																															
7001203	1	3	1	1	7001203	2																																		6		700120301	11007,156501	70012																															
7001204	1	3	1	1	7001204	2																																		6		700120401	11007	70012																															
7001301	2	3		1	7001301	2																																		5		700130101	11008,156501,1005	70013																															
7001302	2	3		1	7001303	2																																		5		700130201	11008,1005	70013																															
7001303	2	3		1	7001302	2																																		5		700130301	11008	70013																															
7001401	2	3		1	7001401	2																																		5		700140101	11008,156501	70014																															
7001402	2	3		1	7001403	2																																		5		700140201	11008,1005	70014																															
7001403	2	3		1	7001402	2																																		5		700140301	11008	70014																															
7001501	2	3		1	7001501	2																																		5		700150101	11008,156501	70015																															
7001502	2	3	1	1	7001502	2				19	7001202																													5		700150201	11008	70015																															
7001503	1	3	1	1	7001503	2																																		6		700150301	11008,1005	70015																															
7001504	1	3	1	1	7001504	2																																		6		700150401	11008,156501,1005	70015																															
7001601	2	3		1	7001601	2																																		5		700160101	11007,156501,1005	70016																															
7001602	2	3		1	7001603	2																																		5		700160201	11007,156501	70016																															
7001603	2	3		1	7001602	2																																		5		700160301	11007	70016																															
7001701	2	3		1	7001701	2																																		5		700170101	11007,156501,1005	70017																															
7001702	2	3		1	7001704	2																																		5		700170201	11007,156501	70017																															
7001703	2	3		1	7001703	2																																		5		700170301	11007	70017																															
7001801	2	3		1	7001801	2																																		5		700180101	11007,156501	70018																															
7001802	2	3	1	1	7001802	2				19	7001802																													5		700180201	11007	70018																															
7001803	1	3	1	1	7001803	2																																		6		700180301	11007,156501	70018																															
7001804	1	3	1	1	7001804	2																																		6		700180401	11007	70018																															
7001901	2	3		1	7001901	2																																		5		700190101	11008,156501	70019																															
7001902	2	3	1	1	7001902	2				19	7001502																													5		700190201	11008	70019																															
7001903	1	3	1	1	7001903	2																																		6		700190301	11008,1005	70019																															
7001904	1	3	1	1	7001904	2																																		6		700190401	11008	70019																															
7002001	2	3		1	7002001	2																																		5		700200102	1005,11008,156501	70020																															
7002002	2	3		1	7002003	2																																		5		700200201	11008,1005	70020																															
7002003	2	3		1	7002002	2																																		5		700200301	11008	70020																															
7002101	2	3		1	7002101	2																																		5		700210101	11007,156501	70021																															
7002102	2	3	1	1	7002102	2				19	7002302																													5		700210201	11007	70021																															
7002103	1	3	1	1	7002103	2																																		6		700210301	11007,156501	70021																															
7002104	1	3	1	1	7002104	2																																		6		700210401	11007	70021																															
7002201	2	3		1	7002201	2																																		5		700220101	11008,156501,1005	70022																															
7002202	2	3		1	7002203	2																																		5		700220201	11008,1005	70022																															
7002203	2	3		1	7002202	2																																		5		700220301	11008	70022																															
7002301	2	3		1	7002301	2																																		5		700230101	11008,156501	70023																															
7002302	2	3	1	1	7002302	2				19	7001902																													5		700230201	11008	70023																															
7002303	1	3	1	1	7002303	2																																		6		700230301	11008,1005	70023																															
7002304	1	3	1	1	7002304	2																																		6		700230401	11008,1005	70023																															
7002401	2	3		1	7002401	2																																		5		700240101	151201	70024																															
7002402	1	3		1	7002404	2																																		5		700240201	156501,1005	70024																															
7002501	2	3		1	7002501	2																																		5		700250101	151201	70025																															
7002502	2	3		1	7002502	2																																		5		700250201	156501,1005	70025																															
7010101	2	1																																						5	7010102,7010103	701010101	20194																																
7010102	2	1																																								701010201	20194																																
7010103	2	1																																								701010301	20194																																
7010104	2	1																																						5	7010105,7010106	701010401	20195																																
7010105	2	1		19	7010104																																					701010501	20195																																
7010106	2	1																																								701010601	20195																																
7010107	2																																									701010701	20206																																
7010108	2																																									701010801	20207																																
7010109	2																																									701010901	20208																																
7010201			1	1	7010206	2																																		5		701020102	1665	70102																															
7010202			1	1	7010207	2				1	7010206	3																												4		701020201	1667	70102																															
7010203			1	1	7010224	2																																				701020301	1667	70102																															
7010204	2			1	7010226	2																																					1005	70102																															
7010205			1	1	7010230	2				19	7010230																															701020501	1667	70102																															
7010206	2																																									701020601	20173																																
7010207	2	1	1	1	7010227	2				19	7010227																													5		701020701	20173	70102																															
7010209	1	1	1	1	7010232	2				1	7010230	3																														701020901	1667	70102																															
