子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID
4121404	41214	4			1		1	4121402	2																																			4	4121404																																																																						1						47	133008544																																																																																															
4121405	41214	5			1		1	4121402	3																																			4	4121405																																																																						1	1																																																																																																					
4121501	41215	1			1		1	4121001	3																																			2	4121003																																																																						1	1		1																																																																																																			
4131101	41311	1				1	30	2002101	1				1	1110311	3																													2	4131101																																																												2		220801					3	2	2				1																																																																																													2208,30039		1050				
4131102	41311	2					1	4131101	3																																			4	4131102																																																												1		Q40001Target1					3	4	2				1																																																																																													2013,2025,2093,30039,2026,2059,2086		1050				
4131103	41311	3			1		1	4131102	3																																			2	4131103																																																												2		201301					3	2	2																																																																																																	2013,2025,2093,30039,2026,2059,2086		1050				
4131104	41311	4					1	4131103	3																																			2	4131104																																																												2		202501					3	2	2				1																																																																																													2025,2093,30039,2026,2059,2086		1050				
4131105	41311	5					1	4131104	3																																			2	4131105																																																												2		209301					3	2	2				1																																																																																													2025,2093,30039,2026,2059,2086		1050				
4131106	41311	6					1	4131105	3																																			2	4131106																																																												2		202601					3	2	2				1																																																																																													2025,2093,30039,2026,2059,2086		1050				
4131107	41311	7					1	4131106	3																																			2	4131107																																																												2		30039					3	2	2				1																																																																																													30039		1050				
4131108	41311	8					1	4131107	3																																			2	4131108																																																												2		30041					3	2	2				1																																																																																													30039		1050				
4131111	41311	9					1	4131108	3																																			2	4131111																																																												2		30039					3	2	2				1																																																																																													30039		1050				
4131112	41311	10					1	4131111	3																																			4	4131112																																																												2		30040					3	2	2				1																																																																																													30039		1050				
4131115	41311	11					1	4131112	3																																			2	4131115																																																												2		30039					3	2	2		1		1			19	3	302002902,2																																																																																								30039		1050				
4131201	41312	1				1	1	4131115	3				30	2002102	1																													2	4131201																																																												2		30039					3	2	2				1			19	3	133107149,1;133107150,1;133104474,2																																																																																								30039		1050				
4131202	41312	4		1			1	4131201	3																																			20			finish_wanjueqian	1																																																									1		Q40002Target3	30				3	4	2																																																																																																	30039		1050				
4131203	41312	2		1			1	4131201	3																																			5	100238			1																																																									1		Q40002Target4	30				3	4	2							23	413120401	1																																																																																								30039		1050				
4131204	41312	5			1		1	4131201	3																																			24	413120401			2																																																																						1																																																																																																			
4131205	41312	6				1	1	4131236	3				1	4131203	3																													2	4131205																																																												2		30039					3	2	2				1			19	3	133107149,3;133107150,2;133104474,1				29	100237,100238																																																																																			30039,2025		1050				
4131206	41312	8					1	4131205	3																																			4	4131206																																																												1		Q4000307_Player					3	4	2				1																																																																																													30039,10205,2025		1050				
4131207	41312	32					1	4131228	3																																			4	4131207																																																												1		Q4131212Thief					3	4	2				1			47	133107947																																																											46	3	133107903				46	3	133107947																						10205		1050				
4131208	41312	9					1	4131206	3																																			2	4131208																																																												2		10205					3	2	2				1																																																																																													30039,10205,2025		1050				
4131209	41312	10			1		1	4131208	3																																			25	70710041			1																																																																									23	413123201	1																																																																																														
4131210	41312	16		1			1	4131214	3																																			25	70710303			1																																																									1		Q40003Xiao	40				3	4	2				1																																																																																													30039,10205,2025		1050				
4131211	41312	17					1	4131210	3																																			2	4131211																																																												2		30039											1																																																																																													30039,10205,2025		1050				
4131212	41312	33		1			1	4131207	3																																			2	4131212																																																												2		10205					3	2	2																																																																																																	10205		1050				
4131213	41312	34		1			1	4131212	3																																			20			1331079031	1																																																									1		Q4131212Thief	30				3	4	2																																																																			19	3	133107903,2																												10205		1050				
4131214	41312	15		1			1	4131233	3																																			2	4131214																																																												2		1005					3	2	2				1																																																																																													30039,10205,2025		1050				
4131215	41312	18					1	4131211	3																																			2	4131215																																																												2		205601					3	2	2				1																																																																																													30039,10205,2056,2025		1050				
4131216	41312	19		1			1	4131215	3																																		2	4	4131216				20			1331049193	1																																																				1		Q40003Target1	40				3	4	2				1																																																															46	3	133104919				19	3	133104006,2																												
4131217	41312	20		1			1	4131216	3																																			20			1331049191	1																																																									1		Q40003Target1	40				3	4	2																																																																																																							
4131218	41312	22		1		1	1	4131217	3				1	4131234	3																													2	4131218																																																												2		242801					3	2	2				1																																																																																													2428		1050				
4131219	41312	23					1	4131218	3																																			4	4131219																																																												1		Q40002Target1					3	4	2				1			47	133104919					19	3	133104006,1																																																																																		10204		1050				
4131220	41312	24			1		1	4131219	3																																			2	4131220																																																												2		1005					3	2	2																																																																																																							
4131221	41312	25					1	4131220	3																																			2	4131221																																																												2		 10204					3	2	2				1																																																																																													10204		1050				
4131222	41312	36					1	4131229	3																																			2	4131222																																																												2		205601					3	2	2		1		1			47	133107903																																																																																									2056		1050				
4131223	41312	26					1	4131221	3																																			2	4131223																																																												2		1004					3	2	2				1																																																																																													1004		1050				
4131224	41312	27					1	4131223	3																																			2	4131224																																																												2		146101					3	2	2				1																																																																																													1461		1050				
4131225	41312	28					1	4131224	3																																			4	4131225																																																												1		Q40004Target2	80				3	4	2				1																																																															46	3	133107947																												10207,10208,10204		1050				
4131226	41312	29		1			1	4131225	3																																			2	4131225																																																												2		10207					3	2	2																																																																																																	10207,10208,10204		1050				
4131227	41312	30		1			1	4131226	3																																			20			1331079471	1																										2	8	4131227				129					10	3																			1		Q40004Thoarder1	50				3	4	2																																					14	4131225					20	16																							19	3	133107947,1				12	16																							10207,10208,10204		1050	16			
4131228	41312	31		1			1	4131227	3																																			2	4131227																																																												2		10207					3	2	2				1	100242	1																																																													46	3	133107947																												10207,10208,10204		1050				
4131229	41312	35		1			1	4131213	3																																			2	4131229																																																												2		10205					3	2	2				1			19	3	302002902,3																																																										46	3	133107903																												10205		1050				
4131230	41312	11			1		1	4131208	3																																			25	70710042			1																																																																									23	413123201	1																																																																																														
4131231	41312	12			1		1	4131208	3																																			25	70710043			1																																																																									23	413123201	1																																																																																														
4131232	41312	13	1	1			1	4131208	3																																			24	413123201			3																																																									1		Q40003Xiao	40				3	4	2				1			23	413123301	1																																																																																								30039,10205,2025		1050				
4131233	41312	14			1		1	4131208	3																																			24	413123301			1																																																																						1																																																																																													30039,10205,2025		1050				
4131234	41312	21		1			1	4131216	3																																			20			1331049192	1																																																									1		Q40003Target1	40				3	4	2																																																																																																							
4131235	41312	7			1		1	4131205	3																																			2	4131218																																																												2		10205					3	2	2																																																																																																	10205		1050				
4131236	41312	3		1			1	4131202	3																																			20			finish_pengwanjue	1																																																									1		Q4131236Target					3	2	2	1				100237	1	23	413120401	1																																																																																								30039		1050				
4131301	41313	1				1	1	4131222	3				30	2002103	1																													4	4131301																																																												1		Q100301Xiao	40				3	4	2				1																																																																																													10204		1050				
4131302	41313	2					1	4131301	3																																			2	4131302																																																												2		10204					3	2	2																																																																																																	10204		1050				
4131303	41313	3					1	4131302	3																																			2	4131303																																																												2		220801					3	2	2				1																																																																																													10204,2208,2202		1050				
4131304	41313	4					1	4131303	3																																			25	70710304			1																																																									1		Q4131304Target					3	4	2				1																																																																																													10204,2202,2208		1050				
4131305	41313	5					1	4131304	3																																			25	70710304			1																																																									1		Q4131305Target					3	4	2				1																																																																																													10204,2202,2208		1050				
4131306	41313	6					1	4131305	3																																			25	70710304			1																																																									1		Q4131307HuaiAn					3	4	2				1																																																																																													10204,2202,2208		1050				
4131307	41313	7					1	4131306	3																																			2	4131307																																																												2		220201					3	2	2				1																																																															19	3	133104149,1																												10204,2202,2208		1050				
4131308	41313	9					1	4131307	3																																			2	4131308																																																												2		10204					3	2	2				1																																																																																													10204,2202,2208		1050				
4131309	41313	10					1	4131308	3																																			4	4131309																																																												1		Q4131309Xiao					3	4	2				1																																																															46	3	133104142																												10204,2208,2202		1050				
4131310	41313	13					1	4131314	3																																			4	4131310																																																												1		Q40005Xiao	40				3	4	2				1																																																																																													10204,2208,2202		1050				
4131311	41313	14					1	4131310	3																																			2	4131311																																																												2		10204					3	2	2																																																																																																	10204,2208,2202		1050				
4131312	41313	15					1	4131311	3																																			4	4131312																																																												1		Q40005Target1					3	4	2		1		1			19	3	133104149,1				19	3	302002902,4				15	3	133104149																																																																												10204,2208,2202		1050				
4131313	41313	8					1	4131306	3																																			4	4131313																																																																												19	3	133104149,2																																																																																														
4131314	41313	12			1		1	4131309	3																																			2	4131309																																																																																																																																																																						10204,2208,2202		1050				
4131315	41313	16					1	99902	3																																			2	4131315																																																																			3	2	2				1																																																																																																			
4131316	41313	18					1	99902	3																																			4	4131316																																																																			3						1																																																																																																			
4131317	41313	19					1	99902	3																																			2	4131317																																																																			3	2	2																																																																																																							
4131318	41313	20					1	99902	3																																			4	4131318																																																																							1		1																																																																																																			
4131319	41313	17					1	99902	3																																			2	4131319																																																																			3	2	2				1																																																																																																			
4131320	41313	11			1		1	4131308	3																																			4	4131320																																																																												47	133104142																																																																																															
4131601	41316	1			1		1	4131111	3																																			4	4131601																																																																						1	1		1																																																																																																			
4131701	41317	1			1		1	4131108	3																																			2	4131111																																																																						1	1		1																																																																																																			
4133101	41331	2					1	99902	3																																			2	4133101																																																												2		2090					3	1					1																																																																																																			
4133102	41331	3					1	4133126	3																																			2	4133102																																																												2		2306					3	2					1																																																																																													2306,2138,2300		1100				
4133103	41331	10					1	4133102	3																																			2	4133103																																																												2		2138					3	2					1																																																																																													2306,2138,2300		1100				
4133104	41331	12					1	4133103	3																																			2	4133105																																																												2		2138					3	2					1																																																																																													2306,2138,2300		1100				
4133105	41331	11			1		1	4133103	3																																			27	4133105																																																																						1																																																																		28	4133105																																			
4133106	41331	14					1	4133104	3																																			2	4133106																																																												2		2300					3	2					1																																																																																													2306,2138,2300		1100				
4133107	41331	15			1		1	4133104	3																																			4	4133107																																																																						1						19	3	133102092,1																																																																																														
4133108	41331	82			1		1	99902	3																																			2	4133106																																																												2		2306					3	2		1																																																																																																						
4133109	41331	18					1	99902	3																																			2	4133109																																																												2		2085					3	2					1																																																																																																			
4133110	41331	19					1	4133106	3																																			2	4133110																																																												2		2306					3	2					1																																																																																													2306,2138,2300,2307,2136,1624,2137,2304,2308		1100				
4133111	41331	20			1		1	99902	3																																			2	4133120																																																																						1																																																																																																	2309					
4133112	41331	21			1		1	4133110	3																																			2	4133121																																																																						1																																																																																																						
4133113	41331	22			1		1	4133110	3																																			2	4133122																																																																						1																																																																																																						
4133114	41331	23			1		1	4133110	3																																			2	4133123																																																																						1																																																																																																						
4133115	41331	16			1		1	99902	3																																			2	4133137																																																																																																																																																																												
4133116	41331	35					1	4133110	3																																			2	4133131																																																												2		2306					3	2					1																																																															46	3	133102093				47	133102094					19	3	133102092,1																2306,2138,2300,2307,2136,1624,2137,2304,2308		1100				
4133117	41331	31			1	1	1	99902	3				1	4133116	2																													2	4133137																																																																																																																																																																							2305,2309					
4133118	41331	32			1	1	1	4133112	3				1	4133116	2																													2	4133137																																																																									1																																																																																																			
4133119	41331	33			1		1	4133113	3				1	4133116	2																													2	4133137																																																																									1																																																																																																			
4133120	41331	34			1		1	4133114	3				1	4133116	2																													2	4133137																																																																									1																																																																																																			
4133121	41331	17			1		1	99902	3																																			2	4133137																																																																																																																																																																												
4133122	41331	36					1	4133116	3																																			18			18,0																																																																																																																																																																				2306,2138,2300,2307,2136,1624,2137,2304,2308		1100				
4133123	41331	37					1	4133122	3																																			2	4133137																																																												2		2306					3	2			1					19	3	133102092,2				47	133102093	0				15	3	133102092																																																																												2306,2138,2300,2307,2136,1624,2137,2304,2308		1100				
4133124	41331	40			1		1	4133122	3																																			4	4133124																																																																												46	3	133102094																																																																																														
4133125	41331	41			1		1	99902	3																																			4	4133125																																																																												47	133102092					47	133102093																																																																																									
4133126	41331	1			1		30	2002508	1																																			4	4133126																																																																									1																																																																																																			
4133201	41332	2					1	4133217	3																																			4	4133201																																																												2		204501					3	1	2				1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133202	41332	3					1	4133201	3																																			2	4133202																																																												2		204501					3	2	2				1	100749	1																																																													1	100749	1																												2045,2077,2036,2001,2038,2005,2015		1100				
4133203	41332	4					1	4133202	3																																		2	2	4133203				2	4133204																																																							2		207701					3	2	2							1	100749	1				23	4133204	1																																																																																		2045,2077,2036,2001,2038,2005,2015		1100				
4133204	41332	5			1		1	4133202	3																																		2	4	4133204				24	4133204			1																																																																																																																																																														2045,2077,2036,2001,2038,2005,2015		1100				
4133205	41332	12			1		1	4133213	3																																			2	41332052																																																																									1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133206	41332	13			1		1	4133213	3																																			2	41332053																																																																									1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133207	41332	14					1	4133213	3																																			2	41332055																																																												2		203801					3	2	2				1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133208	41332	6			1		1	4133203	3																																			2	41332063																																																																									1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133209	41332	7			1		1	4133203	3																																			2	41332065																																																																									1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133210	41332	8					1	4133203	3																																			2	41332062																																																												2		203601					3	2	2				1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133211	41332	9			1		1	4133210	3																																			2	41332072																																																																									1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133212	41332	10			1		1	4133210	3																																			2	41332075																																																																									1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133213	41332	11					1	4133210	3																																			2	41332073																																																												2		200101					3	2	2				1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133214	41332	15					1	4133207	3																																			2	4133214																																																												2		204501					3	2	2				1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133215	41332	16					1	4133214	3																																			27	4133201																																																												2		204501					3	2	2				1																																																															28	4133201																													2045,2077,2036,2001,2038,2005,2015		1100				
4133216	41332	17					1	4133215	3																																			2	4133216																																																												2		204501					3	2	2		1		1																																																																																													2045,2077,2036,2001,2038,2005,2015		1100				
4133217	41332	1			1		30	2002501	1																																			4	4133217																																																																									1																																																																																																			
4133301	41333	2					1	4133318	3																																			2	4133301																																																												2		240301					3	1	2				1																																																																																													2403		1100				
4133302	41333	3					1	4133301	3																																			4	4133302																																																												1		Q41333_photo1					3	4	2				1			47	133107944																																																											46	3	133107944				19	3	133107944,2																						2403		1100				
4133303	41333	4					1	4133302	3																																			4	4133303																																																												1		Q41333_photo2					3	4	2				1																																																															46	3	133107943				19	3	133107943,2																						2403		1100				
4133304	41333	5					1	4133303	3																																			2	4133302																																																												2		240301					3	2	2				1																																																																																													2403		1100				
4133305	41333	6					1	4133304	3																																			27	4133301																																																												2		240301					3	2	2				1																																																															28	4133301																													2403		1100				
4133306	41333	7			1		1	4133304	3				20	4133301	4133301																													2	4133304																																																																									1			14	4133305																																																																																									2403		1100				
4133307	41333	8			1		1	4133304	3				20	4133301	4133302																													2	4133305																																																																									1																																																																																													2403		1100				
4133308	41333	9			1		1	4133304	3				20	4133301	4133303																													2	4133306																																																												2		240301					3	2	2				1																																																																																													2403		1100				
4133309	41333	10				2	1	4133308	3				1	4133307	3																													2	4133307																																																												2		241901					3	2	2		1		1																																																																																													2403,2419		1100				
4133310	41333	11					1	99902	3																																		2	2	4133307																														24	4133310			1																										2		240301					3	2	2							23	4133314	1																																																										46	3	133107943				19	3	133107943,3																						2403,2419		1100				
4133311	41333	12				1	1	99902	3																																			20			13310794301	1																											24	4133310			1																										1		Q41333_photo2	25				3	2	2																																																																																																	2403,2419		1100				
4133312	41333	13				2	1	99902	3																																			2	4133309																																																												1		Q41333_photo2	25				3	2	2																																																																			46	3	133107943				19	3	133107943,4																						2403,2419		1100				
4133313	41333	14					1	99902	3																																			2	4133308																																																												2		240301					3	2	2		1		1																																																																																													2403						
4133314	41333	12			1	1	1	99902	3																																			20			13310794301	1																											24	4133314			1																																										23	4133310	1																																																																																								2403,2419		1100				
4133315	41333	13					1	99902	3																																			2	4133310																														24	4133314			1																										2	1	240301					3	2	2																																																																																																	2403,2419		1100				
4133316	41333	15			1		1	4133301	3																																			20			13310794499	1																																																																																																																																																																			2403,2419		1100				
4133317	41333	16			1		1	4133301	3																																			20			13310794399	1																																																																																																																																																																			2403,2419		1100				
4133318	41333	1			1		30	2002502	1																																			4	4133318																																																																									1																																																																																																			
4133401	41334	2					1	4133426	3																																			2	4133401																																																												2		243001					3	1	2				1			28	4133406																																																																																									2430,2451		1100				
4133402	41334	5	1				1	4133401	3																																			5	200001			2																																																									2		245101					3	2	2				1			23	4133404	1																																																																																								2430,2451		1100				
4133403	41334	6	1				1	4133401	3																																			5	200002			2																																																									2		245101					3	2	2				1			23	4133404	1																																																																																								2430,2451		1100				
4133404	41334	7			1		1	4133401	3																																			24	4133404			2																																																																3	1	2	1						23	4133405	1																																																																																								2430,2451		1100				
4133405	41334	8			1		1	4133401	3																																			24	4133405			1																																																																3	1	2	1			1																																																																																													2430,2451		1100				
4133406	41334	9					1	4133405	3																																			27	4133406																																																												2		245101					3	2	2				1																																																																																													2430,2451		1100				
4133407	41334	20					1	4133416	3																																			2	4133422																																																												2		243001					3	2	2				1			1	108088	1																																																																																								2430,2405,2420		1100				
4133408	41334	11					1	4133410	3																																			25	70710269			1																																																									1		Q41334lamp1					3	4	2	1			1			1	100723	1				46	3	133104136																																																																																		2430,2451		1100				
4133409	41334	12					1	4133408	3																																			25	70710270			1																																																									1		Q41334lamp2					3	4	2	1			1			1	100723	1				46	3	133104139																																																																																		2430,2451		1100				
4133410	41334	10					1	4133406	3																																			2	4133405																																																												2		245101					3	2	2				1	100723	2																																																													29	100723																													2430,2451		1100				
4133411	41334	3			1		1	4133401	3																																			4	4133411																																																												1							3	2	2	1																																																																																																2430,2451		1100				
4133412	41334	14					1	4133425	3																																			2	4133412																																																												2		243001					3	2	2				1																																																																																													2430		1100				
4133413	41334	15					1	4133412	3																																			2	4133413																																																												2		212101					3	2	2				1																																																																																													2430,2121		1100				
4133414	41334	16					1	4133413	3																																			2	4133414																																																												2		241701					3	2	2				1																																																																																													2430,2417,2121		1100				
4133415	41334	18					1	4133414	3																																			2	4133425																																																												2		243001					3	2	2				1																																																																																													2430,2405,2420,2417		1100				
4133416	41334	19					1	4133415	3																																			5	108088			1																																																									2		243001					3	2	2				1																																																															37	2002	2002168																												2430,2405,2420		1100				
4133417	41334	21					1	4133407	3																																			4	4133417																																																												1		Q4133417seat	5				3	2	2	1			1																																																																																													2430,2405,2420		1100				
4133418	41334	22					1	4133417	3																																			2	4133426																																																												2		243001					3	2	2				1																																																																																													2430,2405,2420		1100				
4133419	41334	23					1	4133418	3																																			2	4133427																																																												2		240501					3	2	2				1																																																																																													2430,2405,2420		1100				
4133420	41334	24					1	4133419	3																																			4	4133420																																																												1		Q4133420point					3	4	2				1																																																																																													2430,2405,2420		1100				
4133421	41334	25					1	4133420	3																																			2	4133421																																																												1		Q4133420point					3	4	2				1																																																																																													2430,2405,2420		1100				
4133422	41334	26					1	4133421	3																																			2	4133428																																																												2		243001					3	3	2		1		1			38	2002	2002168																																																																																								2430		1100				
4133423	41334	29			1		1	99902	3																																																																																																							3	1	2	1																																																																																																						
4133424	41334	28			1		1	99902	3																																		2																																																														1							3	2	2	1																																																																																																						
4133425	41334	13					1	4133409	3																																			18	1		12,18																																																										2		243001					3	2	2				1																																																																																													2430,2451		1100				
4133426	41334	1			1		30	2002506	1																																			4	4133426																																																																									1																																																																																																			
4133501	41335	2					1	4133509	3																																			2	4133501																																																												2		240901					3	2	2				1																																																																																													2409		1100				
4133502	41335	3					1	4133501	3																																			4	4133502																																																												1		Q4133503QingZhou					3	4	2				1																																																																																													2205,2409		1100				
